Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,1.8,1.8,1.3,3.2,14,17,38,0,0.12,0.12,0,0.12,0.23,0.16,0.39,0.23,0.39,Matches,2021-2022
2,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,13,1,259,2.9,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.9,8,2,29,0,0.35,0.35,0,0.35,0.14,0.16,0.3,0.14,0.3,Matches,2021-2022
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,12,"1,351",15,0,1,1,0,0,0,5,0,0.2,0.2,0.9,1,20,96,23,0,0.07,0.07,0,0.07,0.01,0.06,0.07,0.01,0.07,Matches,2021-2022
4,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,13,2,331,3.7,1,0,1,1,0,0,0,0,0.7,0.7,0.5,1.2,9,9,26,0.27,0,0.27,0.27,0.27,0.18,0.14,0.31,0.18,0.31,Matches,2021-2022
5,Amine Adli,ma MAR,"FW,MF",Leverkusen,21,2000,25,13,"1,256",14,3,2,5,3,0,0,3,0,4.3,4.3,2.1,6.4,51,56,105,0.21,0.14,0.36,0.21,0.36,0.31,0.15,0.46,0.31,0.46,Matches,2021-2022
6,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,Matches,2021-2022
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,25,"2,261",25.1,1,0,1,1,0,0,3,0,1.9,1.9,0.1,2,18,115,8,0.04,0,0.04,0.04,0.04,0.08,0,0.08,0.08,0.08,Matches,2021-2022
8,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,26,19,"1,527",17,2,2,4,2,0,0,5,0,1.2,1.2,2.6,3.8,36,87,40,0.12,0.12,0.24,0.12,0.24,0.07,0.15,0.22,0.07,0.22,Matches,2021-2022
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,5,655,7.3,6,0,6,6,0,1,2,0,6,5.2,1,6.2,6,10,44,0.82,0,0.82,0.82,0.82,0.82,0.14,0.96,0.71,0.85,Matches,2021-2022
10,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,13,3,369,4.1,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,17,21,29,0.24,0,0.24,0.24,0.24,0.11,0.08,0.19,0.11,0.19,Matches,2021-2022
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,26,13,"1,257",14,3,1,4,3,0,0,3,0,4.5,4.5,1,5.5,10,14,86,0.21,0.07,0.29,0.21,0.29,0.32,0.07,0.39,0.32,0.39,Matches,2021-2022
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,17,12,"1,046",11.6,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.4,18,44,15,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04,Matches,2021-2022
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,9,2,353,3.9,0,0,0,0,0,0,1,0,0,0,0,0,11,18,10,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,2021-2022
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,26,21,"1,817",20.2,4,2,6,4,0,0,5,1,3.2,2.8,1.5,4.3,19,100,27,0.2,0.1,0.3,0.2,0.3,0.16,0.08,0.23,0.14,0.21,Matches,2021-2022
15,Angeliño,es ESP,DF,RB Leipzig,24,1997,29,26,"2,298",25.5,2,5,7,2,0,0,3,0,1.2,1.2,5.2,6.4,35,73,177,0.08,0.2,0.27,0.08,0.27,0.05,0.2,0.25,0.05,0.25,Matches,2021-2022
16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,29,29,"2,595",28.8,2,1,3,2,0,0,6,1,2.1,2.1,1.4,3.5,26,108,12,0.07,0.03,0.1,0.07,0.1,0.07,0.05,0.12,0.07,0.12,Matches,2021-2022
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,25,12,"1,130",12.6,1,1,2,1,0,0,2,0,2,2,1,3.1,35,22,85,0.08,0.08,0.16,0.08,0.16,0.18,0.09,0.26,0.18,0.26,Matches,2021-2022
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,26,16,"1,578",17.5,1,4,5,1,0,0,2,0,1.6,1.6,0.9,2.5,6,96,14,0.06,0.23,0.29,0.06,0.29,0.09,0.05,0.14,0.09,0.14,Matches,2021-2022
19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,34,34,"2,994",33.3,4,2,6,4,0,0,4,0,1.7,1.7,4.7,6.4,18,171,24,0.12,0.06,0.18,0.12,0.18,0.05,0.14,0.19,0.05,0.19,Matches,2021-2022
20,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,27,20,"1,608",17.9,3,4,7,3,0,0,1,0,3.7,3.7,1.9,5.7,48,40,109,0.17,0.22,0.39,0.17,0.39,0.21,0.11,0.32,0.21,0.32,Matches,2021-2022
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,28,27,"2,375",26.4,0,1,1,0,0,0,5,0,0.9,0.9,0.5,1.4,13,86,20,0,0.04,0.04,0,0.04,0.03,0.02,0.05,0.03,0.05,Matches,2021-2022
22,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches,2021-2022
